Actividad Económica,Fecha,Cotizantes
Comercio al por mayor y al por menor,01/07/2020,167363
Hoteles y restaurantes,01/07/2020,24248
"Transporte, almacenamiento y comunicaciones",01/07/2020,48546
Intermediación financiera,01/07/2020,63405
"Actividades inmobiliarias, empresariales y de alquiler",01/07/2020,148905
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/07/2020,328292
Enseñanza,01/07/2020,42825
Servicios sociales y de salud,01/07/2020,16817
"Otras actividades de servicios comunitarios, sociales y personales",01/07/2020,119741
Actividades de hogares privados como empleadores,01/07/2020,609
Organizaciones y órganos extraterritoriales,01/07/2020,1010
Total,01/07/2020,1242252
"Agricultura, ganadería, caza y silvicultura",01/08/2020,85788
Pesca,01/08/2020,31
Explotación de minas y canteras,01/08/2020,2709
Industrias manufactureras,01/08/2020,163485
"Suministro de electricidad, gas y agua",01/08/2020,11701
Construcción,01/08/2020,16934
Comercio al por mayor y al por menor,01/08/2020,174775
Hoteles y restaurantes,01/08/2020,25939
"Transporte, almacenamiento y comunicaciones",01/08/2020,49343
Intermediación financiera,01/08/2020,63652
"Actividades inmobiliarias, empresariales y de alquiler",01/08/2020,153710
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/08/2020,330757
Enseñanza,01/08/2020,44036
Servicios sociales y de salud,01/08/2020,17304
"Otras actividades de servicios comunitarios, sociales y personales",01/08/2020,121253
Actividades de hogares privados como empleadores,01/08/2020,640
Organizaciones y órganos extraterritoriales,01/08/2020,1003
Total,01/08/2020,1263060
"Agricultura, ganadería, caza y silvicultura",01/09/2020,84508
Pesca,01/09/2020,31
Explotación de minas y canteras,01/09/2020,2768
Industrias manufactureras,01/09/2020,165511
"Suministro de electricidad, gas y agua",01/09/2020,11665
Construcción,01/09/2020,17295
Comercio al por mayor y al por menor,01/09/2020,177102
Hoteles y restaurantes,01/09/2020,26865
"Transporte, almacenamiento y comunicaciones",01/09/2020,50014
Intermediación financiera,01/09/2020,63484
"Actividades inmobiliarias, empresariales y de alquiler",01/09/2020,152854
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/09/2020,330341
Enseñanza,01/09/2020,45249
Servicios sociales y de salud,01/09/2020,17541
"Otras actividades de servicios comunitarios, sociales y personales",01/09/2020,125223
Actividades de hogares privados como empleadores,01/09/2020,597
Organizaciones y órganos extraterritoriales,01/09/2020,750
Total,01/09/2020,1271798
"Agricultura, ganadería, caza y silvicultura",01/10/2020,82984
Pesca,01/10/2020,32
Explotación de minas y canteras,01/10/2020,2629
Industrias manufactureras,01/10/2020,170358
"Suministro de electricidad, gas y agua",01/10/2020,11646
Construcción,01/10/2020,18271
Comercio al por mayor y al por menor,01/10/2020,181195
Hoteles y restaurantes,01/10/2020,29356
"Transporte, almacenamiento y comunicaciones",01/10/2020,50373
Intermediación financiera,01/10/2020,63537
"Actividades inmobiliarias, empresariales y de alquiler",01/10/2020,154494
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/10/2020,332051
Enseñanza,01/10/2020,45430
Servicios sociales y de salud,01/10/2020,17798
"Otras actividades de servicios comunitarios, sociales y personales",01/10/2020,128769
Actividades de hogares privados como empleadores,01/10/2020,612
Organizaciones y órganos extraterritoriales,01/10/2020,1020
Total,01/10/2020,1290555
"Agricultura, ganadería, caza y silvicultura",01/11/2020,88682
Pesca,01/11/2020,33
Explotación de minas y canteras,01/11/2020,2660
Industrias manufactureras,01/11/2020,192251
"Suministro de electricidad, gas y agua",01/11/2020,11703
Construcción,01/11/2020,18445
Comercio al por mayor y al por menor,01/11/2020,183975
Hoteles y restaurantes,01/11/2020,31124
"Transporte, almacenamiento y comunicaciones",01/11/2020,52105
Intermediación financiera,01/11/2020,63725
"Actividades inmobiliarias, empresariales y de alquiler",01/11/2020,155143
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/11/2020,328699
Enseñanza,01/11/2020,41142
Servicios sociales y de salud,01/11/2020,17827
"Otras actividades de servicios comunitarios, sociales y personales",01/11/2020,133577
Actividades de hogares privados como empleadores,01/11/2020,620
Organizaciones y órganos extraterritoriales,01/11/2020,1016
Total,01/11/2020,1322727
"Agricultura, ganadería, caza y silvicultura",01/12/2020,90533
Pesca,01/12/2020,33
Explotación de minas y canteras,01/12/2020,2681
Industrias manufactureras,01/12/2020,201204
"Suministro de electricidad, gas y agua",01/12/2020,11993
Construcción,01/12/2020,19394
Comercio al por mayor y al por menor,01/12/2020,186763
Hoteles y restaurantes,01/12/2020,32523
"Transporte, almacenamiento y comunicaciones",01/12/2020,53362
Intermediación financiera,01/12/2020,64023
"Actividades inmobiliarias, empresariales y de alquiler",01/12/2020,156693
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/12/2020,327724
Enseñanza,01/12/2020,44163
Servicios sociales y de salud,01/12/2020,18088
"Otras actividades de servicios comunitarios, sociales y personales",01/12/2020,136318
Actividades de hogares privados como empleadores,01/12/2020,621
Organizaciones y órganos extraterritoriales,01/12/2020,1089
Total,01/12/2020,1347205
